unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162067046.818375,-0.0545806885,-0.6477355957,-0.7487335205,,,,,,,,,,,,,,,,,,,,,,,,
162067100.424792,,,,,-0.1119353238,-0.0002561961,-0.0229599107,,,,,,,,,,,,,,,,,,,,
162067.097237875,,,,,,,,,,,-63.4017333984,-14.9675292969,363.7575378418,,,,,,,,,,,,,,
162067152.054375,-0.0540466309,-0.6349792480,-0.7721557617,,,,,,,,,,,,,,,,,,,,,,,,
162067201.460958,,,,,-0.1382838407,-0.0252656756,-0.0559048113,,,,,,,,,,,,,,,,,,,,
162067.198275833,,,,,,,,,,,-65.0834655762,-15.6402130127,364.7384643555,,,,,,,,,,,,,,
162067257.307083,-0.0974273682,-0.6559753418,-0.7462921143,,,,,,,,,,,,,,,,,,,,,,,,
162067302.497208,,,,,-0.0096246642,0.0473648526,-0.0011014834,,,,,,,,,,,,,,,,,,,,
162067.299315792,,,,,,,,,,,-64.4107818604,-14.9675292969,364.4114990234,,,,,,,,,,,,,,
162067362.506542,-0.0717926025,-0.6451873779,-0.7535247803,,,,,,,,,,,,,,,,,,,,,,,,
162067402.611583,,,,,-0.0475861613,-0.0257109561,-0.0032695629,,,,,,,,,,,,,,,,,,,,
162067.400352375,,,,,,,,,,,-65.9243469238,-15.8083953857,365.2289428711,,,,,,,,,,,,,,
162067467.30325,-0.0839996338,-0.6482543945,-0.7875061035,,,,,,,,,,,,,,,,,,,,,,,,
162067503.6395,,,,,0.0668011349,-0.1914330792,0.0018684738,,,,,,,,,,,,,,,,,,,,
162067.50138225,,,,,,,,,,,-66.9333953857,-15.8083953857,364.2479858398,,,,,,,,,,,,,,
162067571.643917,-0.1215972900,-0.6390380859,-0.7930297852,,,,,,,,,,,,,,,,,,,,,,,,
162067604.146208,,,,,-0.0689854596,-0.0839132765,-0.0149864064,,,,,,,,,,,,,,,,,,,,
162067.6025125,,,,,,,,,,,-67.4379119873,-15.6402130127,365.3923950195,,,,,,,,,,,,,,
162067676.168542,-0.1246948242,-0.6222686768,-0.7668609619,,,,,,,,,,,,,,,,,,,,,,,,
162067705.251292,,,,,-0.0788988105,-0.0697388679,0.0394470084,,,,,,,,,,,,,,,,,,,,
